code;value
smtp;SMTP
sapco;SAP-CO - Controlling
scaff;Scaffolding
emplo;Employer Branding
luftf;Aviation / Defense
roll;Roller
bilmo;BilMoG
tent;Dentistry
sapcs;SAP-CS - Customer Service
mathe;Mathematics
hfreq;High Frequency Engineering
fawi;Accounting Knowlegde
rft;Rational Functional Tester
ststr;Heavy Current Technique
physi;Physics
biw;Education
tail;Tailor
vfp;Visual FoxPro
swgap;Swiss-GAAP
axapt;MS Dynamics AX (Axapta)
fem;FEM - Finite Element Method
elrn;E-Learning
big;BigData
pneu;Pneumatic
bmd;BMD
acca;ACCA
itein;IT Purchase
progr;Progress
naehe;Sempstress
caia;CAIA
bath;Bath Attendant
mysrm;SAP-SRM - Supplier Relationship Management
antro;Anthropologie
entx;EntireX
db2;DB2
histo;Histology
mecha;Mechatronics
portf;Bag Maker
c;C
rexx;REXX
o;Oracle
excel;Excel
solaw;Social Law
j;Java
rohr;Pipeline Construction
medi;Medical Science/ Physicians
sieb;Siebel Systems
isam;ISAM
fsgue;License Passenger Transport
rem;Release Management
mscrm;MS Dynamics CRM
han;Trading
pdf;PDF
cabl;Cabel Engineering
rcq;Rational ClearQuest
winCC;WinCC - Windows Control Center
ajax;Ajax
bank;Banking know-how
insta;Installer
theol;Theology
matla;Matlab/Simulink
cobit;COBIT
itint;IT Internet Service Providing
hsdpa;HSDPA
esql;ESQL
denti;Dental Assistant
vbn;VB.NET
fas;Flash/ActionScript
rby;Ruby
caros;Carrossier
fmea;FMEA / FMECA
fsde;Driving License DE Bus with Trailer
joom;Joomla
fores;Forestry
foren;Forensic
rcc;Rational ClearCase
jaxb;JAXB
i1320;ISO 13209
obsd;OpenBSD
geria;Geriatric Medicine
taxla;Tax Law
assac;Asset Accounting
lager;Stock management
xcode;Xcode
comla;Commercial Law
tibco;Tibco
tcpip;TCP/IP
jboss;JBoss
pas;Pascal
vba;VBA
scada;SCADA - Supervisory Control and Data Acquisition
lan;WAN/LAN
grai;Grails
xdtd;XML DTD
diver;Diving
mycrm;SAP CRM
psya;Psychiatry
dce;DCE
gleis;Track Construction
maler;Painter / Limer / Paperhanger
bs2k;BS2000
nano;Nano Technics
veter;Veterinary Medicine
photo;Photovoltaik
bpm;BPM - Business Process Management
jds;JDataStore
cade;Cadence
afgen;Allfusion: Gen
jdv;JDeveloper
verfa;Process Engineering
nat;Natural
vhdl;VHDL
jdo;JDO
myerp;SAP-ERP - Enterprise Resource Planning
jmx;JMX
gener;General Knowledge
jms;JMS
prome;Promet@work
zos;z/OS
assma;Asset and Liability Management
php;PHP
sesam;SESAM
qlik;QlikView
xmlsc;XML Schema
symph;Symphonie
invi;InfoVista
rpg;RPG
bam;BAM - Business Activity Management
tivo;IBM Tivoli
emlaw;Employment Law
finan;Finance Science
jni;JNI
envin;Environmental Computer Science
mysap;MySAP-ERP
win7;Windows 7
lifeg;Life Guard
corfi;Corporate Finance
http;HTTP
descf;DESCF
galva;Galvanik
bas;Basic
kpaed;Kindergarten Pedagogy
dmod;Data Modeling
bmcpt;BMC Patrol
holz;Woodwork
labwi;LabWindows
labvi;LabVIEW
dachd;Roofer
insur;Insurance industry
resch;Defense and Recovery
cvs;CVS
ebroi;Embroiderer
msac;MS-Access
msad;MS Active Directory
pfix;Postfix
db400;DB/400
redis;Redis
robot;Robotics
stap;Forklift License
bilbh;Balace sheet accounting
myscm;SAP-SCM - Supply Chain Management (FSCM)
iso26;ISO 26262
rmi;RMI
log4j;Log4J
sixsi;Six Sigma
kinem;Kinematics
markt;Marketing/Market Research/Advertising
kinet;Kinetic
objc;ObjectiveC
hib;Hibernate
phon;Pediatric Audiology
pls;Process Control Systems
i270;ISO 27001
msce;MSCA
itbsu;IT-Consulting/IT-Support
plm;PLM - Product Livecycle Management
jprof;JProfiler
jdbc;JDBC
emiss;Emission Technology/Exhaust Technology
eye;Ophthalmic Optics
baui;Construction Industry
icem;ICEM Surf
ecoen;Industrial engineering
andro;Android
scstr;Low PowerTechnology
nurbs;Nurbs Modelling
exp;Extreme Programming
corba;CORBA/IIOP
paver;Paver
appli;Application Engineering
bwkom;Municipal Affairs
opti;Optician
whole;Wholesaler
aspn;ASP.net
paten;Patent Attorney
itgen;IT General Skills
typ3;TYPO3
ppap;PPAP (Production Part Approval Process)
falaw;Familiy Law
hkl;HVAC Technique
bioch;Biochemistry
beaps;BEA Portal Server
scala;Scala
cics;IBM CICS
phrma;Pharmaceutical Industry
fsc1e;Driving License C1E Light Trucks with Trailer
drup;Drupal
bsiit;BSI - IT-Basic Protection
patho;Pathology
pl1;PL1
chete;Chemical Engineering
mktng;Marketing Software
prote;Production Engineering
clpp;Clipper
ecoch;Economic Chemistry
pvcs;PVCS
lingo;Lingo
lingu;Linguistics
onkol;Oncology
telaw;Tenancy Law
enete;Energy Technology
ceram;Ceramist
sport;Sports Skills
x509;X.509
schlo;Locksmith
polit;Political Science
proto;ProTool
msexc;MS Exchange Server
spors;Sport Science
maxdb;MaxDB (SAP DB)
sporm;Sport Management
ezs;Realtime Systems
xmlpa;XML Parsing (SAX/DOM)
marke;Marketing/PR
sozio;Sozilogy
litho;Lithography
sugar;SugarCRM
berg;Mining
augen;Ophthalmology
j2ee;Java/J2EE
neuro;Neurlogy
etl;ETL - Extract/Transform/Load
nvll2;Novell
IAS39;IAS 39
cla;Clarify
denhy;Dental Hygienists
pol;Foreman
ess;Essbase
samba;Samba
meteo;Meteorology
cool;COOL: Gen
boden;Bottomer / Floorer / Tiler
msws;MS Windows Server 2000/2003
lamin;Laminating
pps;Planing and production systems
log;Logistics
eleme;Electromechanics
sccm;SCCM
signa;Signal Processing
itb;Interbase
saddl;Saddler
phsp;Adobe Photoshop
bs779;BS 7799-2
sqlit;SQLite
press;Media/Multimedia/Press
beto;Concrete Building
paral;Paralegal
vsst;Visual Studio
itver;IT Distribution
cms;Content management
tenni;Tennis
rup;RUP - Rational Unified Process
telem;Telematics
pmp;PMP - Project Management Professional
lnd;Lotus Notes DB
perso;Payrol
iron;Ironer
xpath;XPath
pmi;PMI - Project Management Institut
socpe;Social Pedagogy
lacad;LaserCAD
nvh;NVH
nurpe;Nursing Pedagogy
cnc;Cutting technique/ CNC
golf;Golf
uss;Unix Shell Script
gold;Gold/Silversmith
femec;Precision instruments engineering
solrs;Sun OS / Solaris
cnt;Centura
geoin;Geoinformatics
back;Backup and archiving systems
itswh;IT Software Development
cmmi;CMMI
koch;Cooking
gmp;Good Manufacturing Practice
cog;Cognos
cob;Cobol
stras;Roadworks
com;COM/OLE/ActiveX
cor;Corel Draw
nutri;Nutrition Science
rsm;Rational Software Modeler
lnscr;Lotus Notes Script
rsa;Rational Software Architect
jmail;JavaMail
irix;IRIX
metal;Metallurgy
cpa;CPA
busi;Business Economics
cfpi;CFPI
itrz;IT-EDPC
cpp;C++
nutsi;Building Materials Science
eplan;EPLAN
i2c;I2C-Bus
rtf;RTF
vmwa;VMware
cost;Cost Accounting
cresu;Adobe Creative Suite
straf;Criminal Law
cash;Cash Management
kyber;Cybernetics
phaci;Pharmacy
lte;LTE
prtlt;Portlets
techn;Technique/ Engineering
legas;Legal Assistance
paeda;Pedagogy
switc;Switching Technology
anten;Antenna Technology
nurma;Nursing Management
cas;CAS - Computer-aided styling
hochb;Surface Engineering
can;CAN-Bus
frtn;Fortran
paedi;Paediatrics
db2c;DB2-Connect
fddi;FDDI
adoni;Adonis
mspro;MS-Project
geolo;Geology
hygie;Food Hygiene
vemed;Veterinary Medical Professional
grp;Groupware/Office Communication
cad;CAD/CAM
isf;ISPF
micro;MicroStation
eltec;Electronic / Electrical Engineering
vbscr;VBScript
mysq;MySql
css2;CSS
crm;CRM - Customer Relationship Mgmt
haema;Hematology
socla;Social Insurance Law
kraft;Power Station Construction
verk;Sales/Order processing
chir;Surgery
esb;Enterprise Service Bus
junit;JUnit
pervm;Personnel Agency
maya;Maya
orebs;Oracle E-Business Suite
veri;Veritas
catv;Catia V4/V5
rddt;RedDot
mdesk;Mechanical Desktop
unit;Unit Testing
jmtr;Jakarta-JMeter
foodo;Food Hygiene Regulation
erw;ERwin
pro;Prolog
unix;Unix General
erm;ER Model
erp;ERP Systems
xbase;xBase / dBase
infa;Informatica
tisch;Joiner
uml;UML
info;Computer Science
autoc;Automotiv Merchant
ebusi;E-Business / E-Commerce
mill;Miller
wml;WML
autom;Automation Engineering
usgap;US-GAAP
mani;Manicure/Pedicure
nbios;NetBIOS
socia;Social Science
fsc1;Driving Licence C1 Light Trucks
medex;Medical Professional
edusc;Education Sciences
solid;SolidWorks
san;SAN - System Area Network
drby;Derby
somm;Sommelier
inet;Internet
sas;SAS Software
cinem;Cinema 4D
cisco;Cisco
bpml;BPML/BPEL
publi;Journalism
cfa;CFA
trver;Transportation/Shipping
emv;EMV
fsbe;Driving License BE Cars with Trailer
geoph;Geophysicist
proe;ProE
bathe;Specialist for bath operation
jewel;Jeweler
mind;MindManager
emcpp;Embedded C++
proz;Process management
itxt;iText
medcs;Media Computer Science
incla;Income Tax Law
calaw;Cartel Law/Antitrust Law
gup;Gupta SQLBase
akust;Automotive Acoustics
wbst;WebStart
tbau;Open Cast Mining
restm;Restaurant Management
ebala;E-Balance
astro;Astronomy
ingr;Ingres
osteo;Osteopathy
fsce;Driving License CE Trucks with Trailer
drywa;Dry Walling
wls;BEA WebLogic Server
radio;Radiology
tour;Tourism/Hotel/Gastronomy
bus;Hardware Technique
derma;Dermatology
aerob;Aerobic
toxi;Toxicology
radar;Radar Technology
zend;Zend Framework
nursc;Nursing Science
jcom;Jakarta-Commons
swing;Swing
egy;Energy and Utility Industry
ibmmf;IBM Mainframe
odbc;ODBC
gwt;Google Web Toolkit
jstl;JSTL
cia;CIA
medin;Medical Computer Science
nursi;Nursing examination
bwe;Banking
medie;Media Studies
dnet;.net
balaw;Insonvency Law
comex;Offiice Communication Professional
mambo;Mambo
mssq;MS SQL Server
mssp;MS Sharepoint Portal Server
soled;SolidEdge
media;Media/Information Professional
sonmq;SonicMQ
tdem;Tandem
endoc;Endokrinologie
pyt;Python
ipma;IPMA -  Intern. PM Association
siche;Security Engineering
ejb;EJB
curpe;Orthopedagogy
pdms;PDMS
cit;Citrix
indu;Industrial Clerk
adba;Adabas
utbau;Mining
pstgr;Postgres SQL
lin;LIN-Bus
dreh;Lathe Engineer
cagen;CA Gen
polyg;Polygon Modelling
wltc;WebLogic Tuxedo Connector
dekre;Account Receivable / Payable
dirma;Direct Marketing
gart;Gardener
cl4;CL/400
notem;Notary Clerk
arch;Archeology
arci;Architecture
visio;MS-Visio
stahl;Steel Building/Metal Building
agil;Agile Software Devopment
ias;IAS
wait;Waitering
fs;Driving Licenses
fp;Frontpage
aix;AIX
ibm;IBM-ERP
ibmws;IBM WebSphere
mtll;Metalurgy
indsg;Adobe InDesign
eai;EAI - Enterprise Application Integration
digit;Digital Technique
semta;Semtalk
wildf;Wildfire
ldap;LDAP
stora;Storage
soap;SOAP
gs;Banking Core Systems
mrlr;Mercury LoadRunner
fleis;Butcher
anest;Anesthesia
wfl;Workflow
funkt;Radio Engineering
idea;IntelliJ IDEA
vign;Vignette
oit;OptimizeIT
ttms;Microsoft
bs15t;BS 15000
de;Collective Bargaining Law
trlaw;Transport Law
dh;Data Management
gies;Caster
cosme;Cosmetician
mav;Apache Maven
wsps;IBM WebSphere Portal Server
msiis;MS IIS
fsbau;Construction Machine License
zimm;Carpenter
fire;Firewall
unigr;Unigraphics NX
cocoa;Cocoa
bankl;Bank Law
micr;Microelectronics
en;Brazer
lono;IBM Lotus (Notes/Domino/...)
fris;Hair Dresser
draht;Wire Erdoding
bw;SAP-BW - Business Information Warehouse
abau;Plant Engineering and Construction
bo;Business Objects
prbus;Profibus DP/PA
tpry;Jakarta-Tapestry
umts;UMTS
rheum;Rheumatology
masch;Engine Engineering
i9001;ISO 9001
bi;BI / DWH (Data Warehouse)
ant;Jakarta-Ant
iec;IEC standards
desti;Distiller
mda;MDA - Model Driven Architecture
kamin;chimney sweep
conme;Building Mechanics
rrob;Rational Robot
pharm;Pharmareferent
eink;Supply/Vendor management
ges;Health Care
archi;ArchiCAD
imcdc;IMS/DC
cs;C#
leasi;Leasing
cm;Change Management
struc;Structural Mechanics
medte;Medical Technology
oraf;Oracle Forms
nucl;Nuclear Technology
aml;Anti Money Laundering
molbi;Molecular Biology
strts;Jakarta-Struts
sco;Unix SCO
kfz;Automotive Industry
apgmk;Adobe PageMaker
navis;MS Dynamics NAV (Navision)
ict;ICT - In-Circuit-Test
edi;EDI - Electronic Data Interchange
getri;Gear Technique
eda;EDA - Event Driven Architecture
vibo;Virtualbox
ice;Ice skating
handw;Handcraft
igbt;IGBT- Insulated Gate BipolarTransistor
ecl;Eclipse
umwe;Cleantech
wig;TIG Welder
pspic;PSpice
audio;Audiologie
poly;Polymechanics
audit;Auditing
win;Windows
judi;Judiciaries
tesal;Technical Sales
indus;Industrie Know-how
notar;Notary
notas;Notary Assistance
jrprt;Jasper Report
menta;Mental Ray
am;Requirement Management
sec;Security / Cryptography
hpux;HP-UX
seo;SEO/SEM - Search Engine Optimization & Marketing
sem;SAP-SEM -Strategic Enterprise Management
sps;CLC Development
ntbns;NetBeans
nw;Network
abp;ABAP
chem;Chemistry
_3dsm;3D Studio Max
diabe;Diabetology
lux;Linux
facil;Building Facilities
fahrs;Drive Simulation
reins;Re-insurance
jcel;JCL
bruec;Bridge Building
flex;Flexray
ifrs;IFRS - International Financial Reporting Standards
dwv;Dreamweaver
trans;Transmission Technology
pb;PowerBuilder
sapwm;SAP-WM - Warehouse Management
pl;Programming Languages
pm;Problem Management
thea;Dramatics
fahrz;Automotive Engineering
soa;SOA - Service Oriented Architecture
ln;Lotus Notes
const;Construction Mechanics
paysy;Paysy
most;MOST-Bus
apax;Apache-Axis
maure;Bricklayer / Plasterer
moto;Motor Technique
ma;Methods/Architecture
phako;Pharmacology
sapxi;SAP XI/PI - Process Integration
aris;ARIS
mm;Multimedia
clock;Clockmaker
mw;Regulatory Reporting
oas;Oracle Application Server
wince;Windows CE
sql;SQL
analo;Analogue technique
ifrs9;IFRS 9
afp;AFP
ims;IMS/DB
touri;Tourism
novgw;Novell GroupWise
urolo;Urology
i177;ISO 17799
gastr;Gastroenterology
ski;Skiing
kw;Financing
stove;Stove-fitter
idms;IDMS
fslok;Driving License Railway Engine
kt;Middleware/Transactions
banac;Bank Accounting
macos;Mac OS
geoda;Geodesy
km;Configuration Management
tux;BEA Tuxedo
aglaw;Agricultural Law
os400;OS/400
gerb;Tanner
jaas;JAAS
skipp;Skipper
ado;DAO / ADO
i1400;ISO 14001
ifrmx;Informix
texmi;Text Mining
lawye;Lawyer
sprng;Spring
hydro;Hydrology
txt;Text Processing
risk;Risk Management/Basel II
sna;IBM-SNA
stucc;Stucco Plasterer
lu62;LU6.2
speng;Plumber
poet;POET
medla;Midia Law
geogr;Geography
adt;ADT (Android Development Tools)
jndi;JNDI
hydra;Hydraulic
itil;ITIL
it;IT - Information Technology
im;Incident Management
lisp;Lisp
human;Humanities knowledge
ada;Ada
hotel;Hotel Management
polec;Political Economics
bulaw;Building Law
scrum;Scrum
dok;Document management
waerm;Heat Engineering / Energy Engineering
colaw;Company Law/ Corporate Law
cima;CIMA
